# Time (s), Energy (keV), Sun X (arcsec), Sun Y (arcsec), Start Time, End Time, Min X, Max X, Min Y, Max Y
1.525745454951464832e+08,3.200000000000000178e+00,6.211499999999999773e+02,6.518999999999999773e+01,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745456656119823e+08,2.680000000000000160e+00,7.884299999999999500e+02,1.217699999999999960e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745457686447501e+08,2.520000000000000018e+00,8.499299999999999500e+02,7.010999999999999943e+01,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745458047254682e+08,2.520000000000000018e+00,1.019669999999999959e+03,2.988899999999999864e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745458295063078e+08,3.160000000000000142e+00,7.047899999999999636e+02,5.535000000000000142e+01,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745459421831667e+08,2.680000000000000160e+00,9.532500000000000000e+02,3.813000000000000256e+01,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745460495410264e+08,2.759999999999999787e+00,5.399700000000000273e+02,3.579300000000000068e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745460613259673e+08,2.759999999999999787e+00,8.991299999999999955e+02,4.243499999999999659e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745466330349445e+08,2.759999999999999787e+00,7.023300000000000409e+02,2.742900000000000205e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745469805154204e+08,2.600000000000000089e+00,9.384900000000000091e+02,1.070100000000000051e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745470997721255e+08,3.120000000000000107e+00,8.179499999999999318e+02,2.127899999999999920e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745471220540404e+08,2.759999999999999787e+00,6.924900000000000091e+02,1.217699999999999960e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745475353971422e+08,3.320000000000000284e+00,7.466100000000000136e+02,3.899099999999999682e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745482388606668e+08,3.120000000000000107e+00,9.630900000000000318e+02,1.808100000000000023e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745483820931017e+08,3.480000000000000426e+00,7.908899999999999864e+02,1.980300000000000011e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745484043630660e+08,2.720000000000000195e+00,5.129099999999999682e+02,1.020900000000000034e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745485468185842e+08,2.680000000000000160e+00,8.966699999999999591e+02,4.796999999999999886e+01,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745488613563478e+08,2.600000000000000089e+00,8.646899999999999409e+02,1.955699999999999932e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745491966406107e+08,4.160000000000000142e+00,6.801899999999999409e+02,5.781000000000000227e+01,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745493793055415e+08,3.560000000000000053e+00,8.671499999999999773e+02,5.535000000000000142e+01,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745494359950125e+08,2.720000000000000195e+00,9.409499999999999318e+02,5.535000000000000142e+01,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745501136794686e+08,2.520000000000000018e+00,1.041809999999999945e+03,-1.107000000000000028e+01,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745502184559405e+08,3.400000000000000355e+00,9.015900000000000318e+02,4.058999999999999631e+01,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745503574479222e+08,2.759999999999999787e+00,9.532500000000000000e+02,1.107000000000000028e+01,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745505436946750e+08,3.959999999999999964e+00,5.645699999999999363e+02,1.193100000000000023e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745507495616376e+08,2.560000000000000053e+00,5.768700000000000045e+02,3.185699999999999932e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745509600488245e+08,3.360000000000000320e+00,9.581699999999999591e+02,1.611299999999999955e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745512727994919e+08,2.640000000000000124e+00,6.359099999999999682e+02,2.742900000000000205e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745513444336057e+08,3.160000000000000142e+00,8.327100000000000364e+02,2.029499999999999886e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745516091449559e+08,2.640000000000000124e+00,9.975299999999999727e+02,-1.352999999999999936e+01,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745518570138812e+08,2.720000000000000195e+00,7.466100000000000136e+02,1.832700000000000102e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745521214333773e+08,2.720000000000000195e+00,6.359099999999999682e+02,2.324699999999999989e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745523128591478e+08,2.600000000000000089e+00,9.876899999999999409e+02,3.689999999999999947e+00,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745524428624213e+08,3.120000000000000107e+00,1.054109999999999900e+03,3.234900000000000091e+02,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
1.525745525908431113e+08,2.640000000000000124e+00,9.089700000000000273e+02,-3.075000000000000000e+01,1.525745321517925262e+08,1.525752599771701396e+08,4.907699999999999818e+02,1.339470000000000027e+03,-4.058999999999999631e+01,7.810499999999999545e+02
