# Time (s), Energy (keV), SunX (arcsec), SunY (arcsec)
3.376033575315179825e+08,2.120000000000000107e+00,-7.958099999999999454e+02,2.570699999999999932e+02
3.376033576172102690e+08,2.520000000000000018e+00,-8.868300000000000409e+02,3.111899999999999977e+02
3.376033576447981596e+08,1.920000000000000151e+00,-1.349309999999999945e+03,-1.783499999999999943e+02
3.376033576654828787e+08,1.334799999999999898e+02,-1.233690000000000055e+03,-1.758899999999999864e+02
3.376033577885177732e+08,1.760000000000000009e+00,-5.498099999999999454e+02,-1.660500000000000114e+02
3.376033580932942629e+08,1.640000000000000124e+00,-9.261899999999999409e+02,-6.272999999999999687e+01
3.376033581177473664e+08,1.880000000000000115e+00,-8.007300000000000182e+02,2.054099999999999966e+02
3.376033583187565207e+08,2.080000000000000071e+00,-6.186899999999999409e+02,-2.177100000000000080e+02
3.376033583510785699e+08,1.920000000000000151e+00,-7.638300000000000409e+02,2.103299999999999841e+02
3.376033584107064009e+08,2.640000000000000124e+00,-1.164809999999999945e+03,1.266899999999999977e+02
3.376033586334993243e+08,2.400000000000000355e+00,-1.221389999999999873e+03,2.324699999999999989e+02
3.376033586609114408e+08,2.320000000000000284e+00,-7.318500000000000227e+02,1.365300000000000011e+02
3.376033586640277505e+08,2.919999999999999929e+00,-6.531299999999999955e+02,1.094699999999999989e+02
3.376033586771202087e+08,2.240000000000000213e+00,-8.720699999999999363e+02,-9.962999999999999545e+01
3.376033587276269794e+08,1.600000000000000089e+00,-5.694900000000000091e+02,-2.152500000000000000e+02
3.376033587827202678e+08,1.880000000000000115e+00,-9.999900000000000091e+02,1.537500000000000000e+02
3.376033587885644436e+08,1.800000000000000044e+00,-7.416899999999999409e+02,-2.496899999999999977e+02
3.376033588166286945e+08,2.200000000000000178e+00,-8.376299999999999955e+02,6.026999999999999602e+01
3.376033589698979855e+08,3.320000000000000284e+00,-5.768700000000000045e+02,-3.689999999999999947e+00
3.376033589885166883e+08,1.840000000000000080e+00,-6.359099999999999682e+02,-1.685099999999999909e+02
3.376033590298893452e+08,2.200000000000000178e+00,-8.154900000000000091e+02,-3.972900000000000205e+02
3.376033592208853960e+08,1.680000000000000160e+00,-1.039349999999999909e+03,-4.956899999999999977e+02
3.376033592579535842e+08,1.600000000000000089e+00,-1.039349999999999909e+03,-3.013500000000000227e+02
3.376033593623122573e+08,2.320000000000000284e+00,-9.557100000000000364e+02,-1.844999999999999929e+01
