# Time (s), Energy (keV), SunX (arcsec), SunY (arcsec)
3.376033507999945879e+08,2.120000000000000107e+00,-9.434099999999999682e+02,-2.582999999999999829e+01
3.376033508321321607e+08,2.320000000000000284e+00,-1.457549999999999955e+03,3.689999999999999947e+00
3.376033508595464230e+08,1.680000000000000160e+00,-6.506699999999999591e+02,8.609999999999999432e+00
3.376033511941655874e+08,1.840000000000000080e+00,-1.344389999999999873e+03,-1.512899999999999920e+02
3.376033515732204914e+08,1.720000000000000195e+00,-1.437869999999999891e+03,-1.586699999999999875e+02
3.376033520536534190e+08,2.040000000000000036e+00,-1.292730000000000018e+03,-2.644499999999999886e+02
3.376033521200466752e+08,2.040000000000000036e+00,-7.835099999999999909e+02,-3.161100000000000136e+02
3.376033521245551109e+08,1.600000000000000089e+00,-1.122990000000000009e+03,-3.849900000000000091e+02
3.376033521307107210e+08,2.520000000000000018e+00,-8.425499999999999545e+02,-2.595299999999999727e+02
3.376033523570345044e+08,1.600000000000000089e+00,-1.260750000000000000e+03,2.054099999999999966e+02
3.376033523919042945e+08,1.760000000000000009e+00,-1.054109999999999900e+03,7.010999999999999943e+01
3.376033530033756495e+08,1.600000000000000089e+00,-7.613700000000000045e+02,-1.340699999999999932e+02
3.376033530585601330e+08,1.959999999999999964e+00,-1.039349999999999909e+03,1.119299999999999926e+02
3.376033530798307061e+08,1.387199999999999989e+02,-2.655570000000000164e+03,-6.359099999999999682e+02
3.376033532681141496e+08,1.800000000000000044e+00,-1.046730000000000018e+03,3.554699999999999704e+02
3.376033533287120461e+08,1.760000000000000009e+00,-7.613700000000000045e+02,-1.414499999999999886e+02
3.376033537181304097e+08,1.600000000000000089e+00,-8.179499999999999318e+02,2.582999999999999829e+01
3.376033544559841752e+08,1.840000000000000080e+00,-1.243529999999999973e+03,1.832700000000000102e+02
3.376033545306564569e+08,1.760000000000000009e+00,-1.334549999999999955e+03,9.962999999999999545e+01
3.376033546064257622e+08,2.759999999999999787e+00,-1.324710000000000036e+03,-1.881899999999999977e+02
3.376033547220453620e+08,1.640000000000000124e+00,-1.118069999999999936e+03,-3.689999999999999947e+00
3.376033548620659709e+08,1.680000000000000160e+00,-1.174650000000000091e+03,-3.321000000000000085e+01
3.376033550260275602e+08,2.439999999999999947e+00,-1.007370000000000005e+03,-2.091000000000000014e+01
3.376033553485579491e+08,2.879999999999999893e+00,-1.368990000000000009e+03,-2.742900000000000205e+02
3.376033553863238096e+08,1.840000000000000080e+00,-1.022129999999999995e+03,-3.038100000000000023e+02
3.376033555564854741e+08,1.600000000000000089e+00,-9.188099999999999454e+02,2.619900000000000091e+02
3.376033557013888955e+08,1.959999999999999964e+00,-1.211549999999999955e+03,3.087300000000000182e+02
3.376033559592372179e+08,1.920000000000000151e+00,-1.140210000000000036e+03,1.660500000000000114e+02
3.376033559745952487e+08,1.920000000000000151e+00,-7.810499999999999545e+02,-1.316099999999999852e+02
3.376033559854426980e+08,1.720000000000000195e+00,-8.696100000000000136e+02,-2.595299999999999727e+02
3.376033561508333087e+08,3.200000000000000178e+00,-8.105699999999999363e+02,-2.595299999999999727e+02
3.376033562692404389e+08,1.959999999999999964e+00,-9.803099999999999454e+02,3.259499999999999886e+02
3.376033564192588925e+08,1.720000000000000195e+00,-7.933500000000000227e+02,2.177100000000000080e+02
3.376033564321159124e+08,1.920000000000000151e+00,-9.827699999999999818e+02,-4.440299999999999727e+02
3.376033567192599773e+08,1.680000000000000160e+00,-1.344389999999999873e+03,-5.289000000000000057e+01
3.376033568240668178e+08,2.240000000000000213e+00,-7.490699999999999363e+02,3.813000000000000256e+01
3.376033569380739927e+08,1.720000000000000195e+00,-1.118069999999999936e+03,-2.619900000000000091e+02
3.376033570587705970e+08,2.160000000000000142e+00,-7.785900000000000318e+02,-8.240999999999999659e+01
3.376033573780078292e+08,1.720000000000000195e+00,-1.391129999999999882e+03,4.796999999999999886e+01
3.376033576190049648e+08,1.880000000000000115e+00,-8.548500000000000227e+02,2.004900000000000091e+02
3.376033577812358737e+08,1.640000000000000124e+00,-5.793300000000000409e+02,-2.828999999999999915e+01
3.376033580880186558e+08,1.920000000000000151e+00,-1.361609999999999900e+03,1.844999999999999929e+01
3.376033582472580075e+08,2.136000000000000298e+01,-1.172190000000000055e+03,4.550999999999999801e+01
3.376033584603157640e+08,2.200000000000000178e+00,-8.179499999999999318e+02,2.373899999999999864e+02
3.376033585580967665e+08,2.080000000000000071e+00,-9.630900000000000318e+02,-3.689999999999999947e+00
3.376033588970518708e+08,2.000000000000000000e+00,-1.383750000000000000e+03,-3.321000000000000085e+01
3.376033590196386576e+08,4.896000000000000085e+01,-9.015900000000000318e+02,-4.550999999999999801e+01
3.376033593095670342e+08,1.640000000000000124e+00,-1.376369999999999891e+03,-2.091000000000000014e+01
3.376033594275586009e+08,2.360000000000000320e+00,-9.163500000000000227e+02,-1.512899999999999920e+02
3.376033595325011015e+08,1.640000000000000124e+00,-9.852300000000000182e+02,1.906500000000000057e+02
