m,ra_sun_0,dec_sun_0,rho_0,N_data,N_sig_lim_poisson,S_0_lim_poisson,N_sig_lim_yellin,S_0_lim_yellin
9.200000000000006,2.9787281531099743,0.0701782971480805,36880.733716744384,99,112.99533930646666,0.003063803995178251,54.64494585793389,0.0014816664515848366
9.300000000000006,2.9787281531099743,0.0701782971480805,37358.17038034966,97,110.87163402527503,0.002967801498212379,54.64494585793389,0.001462730784232331
9.400000000000006,2.9787281531099743,0.0701782971480805,37780.88428704257,95,108.74777105195962,0.0028783807765255516,51.15640300070042,0.0013540287361205347
9.500000000000004,2.9787281531099743,0.0701782971480805,38333.70819792656,96,109.8146815746254,0.0028647028095383996,57.10182648382972,0.0014895982979000794
9.600000000000003,2.9787281531099743,0.0701782971480805,38819.91604769073,91,104.4672565742918,0.002691073737664773,57.10182648382972,0.0014709415242856127
9.700000000000006,2.9787281531099743,0.0701782971480805,39302.97802558348,89,102.33403538560697,0.0026037221739023107,58.37138525505087,0.0014851644375918588
9.800000000000006,2.9787281531099743,0.0701782971480805,39729.748188524965,89,102.33403538560697,0.002575753435436166,58.37138525505087,0.001469211055103292
9.900000000000006,2.9787281531099743,0.0701782971480805,40294.82093562641,96,109.8146815746254,0.002725280297189097,60.99580958722386,0.0015137381968930602
10.000000000000009,2.9787281531099743,0.0701782971480805,40792.43366442074,94,107.6713903282985,0.002639494157520926,62.35194423015204,0.001528517389844665
10.100000000000009,2.9787281531099743,0.0701782971480805,41290.22460642108,89,102.33403538560697,0.0024784083002951968,58.37138525505087,0.001413685341057057
10.200000000000006,2.9787281531099743,0.0701782971480805,41733.04677182094,86,99.14252205754535,0.0023756358503997013,55.85988020572556,0.001338504722915255
10.300000000000006,2.9787281531099743,0.0701782971480805,42322.597104493856,93,106.60566357437914,0.0025188828396133477,60.99580958722386,0.0014412114038423994
10.400000000000006,2.9787281531099743,0.0701782971480805,42839.390018174,89,102.33403538560697,0.002388783671807493,58.37138525505087,0.0013625634078890394
10.500000000000009,2.9787281531099743,0.0701782971480805,43351.746305376575,87,100.20744961029428,0.0023114974170686713,58.37138525505087,0.001346459836793507
