r_1,r_2,r_3,r_4
0.6890106476120547,0.037481512312762574,0.0477227103994922,0.3545889042521551
0.9983756062146194,0.10271795740202733,0.9326884411906531,0.3497482500882657
0.6167313117278144,0.06500066220545712,0.6979790815095814,0.360959899444449
0.6039958447827107,0.019825649312095704,0.0476304049696631,0.3611016050863602
0.9147990156203338,0.11694119486109873,0.07885197879139483,0.3806996422371284
0.8244902513110293,0.2827942856434683,0.9597298445115875,0.38489078975135643
0.42408345500395955,0.03409804462150611,0.32664447570209754,0.5469671623532292
0.8025637404044603,0.2998201280207215,0.027111732217469924,0.4005441625915104
0.9686860246903091,0.20836587282752164,0.3279839637945854,0.3935739615720748
0.4291091370308204,0.9696018685718183,0.0062745434854179355,0.3751340842610317
0.761463597626853,0.1385317278321306,0.2453401380164816,0.4275427778292453
0.6922625411208833,0.2761148316610001,0.07889284516600498,0.45074860586551957
0.4873437091172216,0.3534185786737149,0.11980462282653798,0.4367094244481459
0.9731747385717362,0.31607208599417036,0.8421784167883003,0.4371535601260872
0.5106653518335333,0.8237202018581452,0.006412955640872223,0.4164391158172798
0.32516572943171274,0.9957852558398078,0.04776876393934866,0.4228711543356836
0.02744027902251281,0.6831884029426575,0.2455550919889318,0.42108904373836625
0.5116359783521915,0.6877124576502537,0.006502204280935952,0.4277643013441577
0.9338887860557331,0.13324067998263334,0.02681419783776208,0.463038844813559
0.8693360791653445,0.462988101591484,0.24724554166051396,0.49155930130858594
0.8657707105044977,0.4641328392428116,0.17782473402083276,0.48915445179533346
0.5270185773832718,0.04841361934888189,0.17552543616056981,0.49753195566546704
0.9823404857660287,0.2429678182484275,0.0021632800676696707,0.4813417695382777
0.10405009117145558,0.9024911926859501,0.04781720314122631,0.4531869828119605
0.9941618520256459,0.931604807046731,0.02682101028766981,0.45268926407054577
0.957715026921898,0.49926242922313063,0.02714687922282157,0.5011392452351798
0.7610930895675091,0.7412794997948405,0.24689464187901916,0.46941253962533097
0.4111952573694166,0.9991256403481363,0.42084263029939534,0.4909293672530518
0.958008149150231,0.8240555351726492,0.9333533358024285,0.48805608739286827
0.6295058926738897,0.30969053021817594,0.4184172480102259,0.6638095345347791
0.4830333107634715,0.5490525465179062,0.04722127998415423,0.5018123928793944
0.8747275233097467,0.28378978816659284,0.17630938401864604,0.5458499081514229
0.1899674680291914,0.8389487468835122,0.013967542260053034,0.5126115258207061
0.5865401555802446,0.5239727327083669,0.02729338978557771,0.5045803924742367
0.8034695579169204,0.5217403600198326,0.048180599571233676,0.6937083625986572
0.3125697445101924,0.7663171693263136,0.12116391052831936,0.5162095208016744
0.7856397733141929,0.32001242342454944,0.2454040325515686,0.5572465911561882
0.6296192359089401,0.9590518715425966,0.0137933021081509,0.5266322709494944
0.26176754343025815,0.7101088288090159,0.04709171258577397,0.5329293427562163
0.9550779969221714,0.8377893870760083,0.08005677399951348,0.5299442410296178
0.6359331069087899,0.029586755728578582,0.24572366810119683,0.5685904861362122
0.9593438594767957,0.041147468953670864,0.026735703455373388,0.5814747287715382
0.8597078265973095,0.5744748281573799,0.0022126936158390446,0.7394515511219765
0.9247151492576637,0.11136160817665461,0.8939072917217862,0.5898250893791741
0.938967825991016,0.09293799967000571,0.932633383264281,0.5981581335122688
0.878275501260997,0.47166770156514976,0.9331225200519562,0.6137866684897882
0.6096194828187377,0.06178942431682823,0.07878096086422821,0.614558089122296
0.9913708453514105,0.09007353836974205,0.0021412793832518815,0.6049662145106468
0.6686974516609041,0.11352527045779313,0.04778564898223682,0.6164387205656647
0.9663406446865535,0.021689495817810704,0.006233901122585994,0.6132665097902786
0.9915987633208384,0.836032591552723,0.9997549118634595,0.6633054887028371
0.9932044344452322,0.5394073515740045,0.006313901637940597,0.6329240438996903
0.8371247520405783,0.6285776736829601,0.4217467938833363,0.6927678456947234
0.0551746616054021,0.32853513868216955,0.026315959148374885,0.5986837968694135
0.9423919676048713,0.0009909655643561546,0.0021395661537829324,0.6402473488420652
0.8773447255827165,0.4670816386987045,0.3295627775602311,0.6641876230943004
0.7490407912108747,0.19590095408058186,0.9997374676229958,0.6633619301721023
0.6105583230845463,0.07005952432002754,0.04770553301915347,0.6759487277424141
0.07699364753094638,0.9164133532999424,0.777245340072208,0.6440546015438762
0.7512591649453002,0.13123725344399617,0.6977007795435209,0.682896363126567
0.023125980938098478,0.4447288330960678,0.046719759668398135,0.6584689888170501
